Ticker,Perf_3M,Perf_1M,RSI14,Below_200SMA,Price,SMA200,Rank_3M,Rank_1M,Rank_RSI,Aggregate_Score,Aggregate_Ranking
GDXJ,13.89%,5.08%,54.45,No,113.78,80.08,3,3,20,26,1
SLV,50.13%,22.66%,60.90,No,64.42,38.53,1,1,25,27,2
GDXJ,13.89%,5.08%,54.45,No,113.78,80.08,4,4,21,29,3
SLV,50.13%,22.66%,60.90,No,64.42,38.53,2,2,26,30,4
XLI,0.86%,2.43%,49.76,No,155.12,146.64,12,6,17,35,5
XLV,7.90%,-0.32%,54.32,No,154.80,140.39,5,11,19,35,6
XLK,1.32%,0.71%,48.72,No,143.97,127.96,10,10,16,36,7
XLF,2.58%,3.55%,55.80,No,54.77,51.84,8,5,23,36,8
XLY,-0.77%,1.14%,48.06,No,119.41,110.84,14,8,15,37,9
XLB,2.81%,2.23%,57.93,No,45.35,43.49,7,7,24,38,10
EEM,1.65%,0.79%,55.11,No,54.71,49.64,9,9,22,40,11
XLE,0.94%,-1.25%,51.44,No,44.71,42.79,11,12,18,41,12
EWZ,3.89%,-4.88%,47.07,No,31.77,28.97,6,26,14,46,13
XLU,-2.31%,-2.81%,44.04,No,42.69,41.44,15,24,13,52,14
FXI,-7.47%,-3.41%,42.00,No,38.29,37.77,26,25,11,62,15
TLT,-2.39%,-1.81%,38.79,Yes,87.16,87.99,16,13,1,3000000,16
TLT,-2.39%,-1.81%,38.79,Yes,87.16,87.99,17,14,2,3300000,17
TLT,-2.39%,-1.81%,38.79,Yes,87.16,87.99,18,15,3,3600000,18
TLT,-2.39%,-1.81%,38.79,Yes,87.16,87.99,19,16,4,3900000,19
TLT,-2.39%,-1.81%,38.79,Yes,87.16,87.99,20,17,5,4200000,20
TLT,-2.39%,-1.81%,38.79,Yes,87.16,87.99,21,18,6,4500000,21
TLT,-2.39%,-1.81%,38.79,Yes,87.16,87.99,22,19,7,4800000,22
XLP,-0.73%,-2.03%,44.03,Yes,77.68,79.98,13,23,12,4800000,23
TLT,-2.39%,-1.81%,38.79,Yes,87.16,87.99,23,20,8,5100000,24
TLT,-2.39%,-1.81%,38.79,Yes,87.16,87.99,24,21,9,5400000,25
TLT,-2.39%,-1.81%,38.79,Yes,87.16,87.99,25,22,10,5700000,26
