Ticker,Perf_3M,Perf_1M,RSI14,Below_200SMA,Price,SMA200,Rank_3M,Rank_1M,Rank_RSI,Aggregate_Score,Aggregate_Ranking
XLB,22.28%,6.93%,66.11,No,53.41,45.34,6,5,10,21,1
GDXJ,55.96%,3.84%,66.62,No,156.19,94.71,3,6,12,21,2
XLI,16.60%,7.92%,66.39,No,177.14,154.23,8,4,11,23,3
GDXJ,55.96%,3.84%,66.62,No,156.19,94.71,4,7,13,24,4
XLV,0.90%,3.82%,62.07,No,160.20,143.79,12,8,8,28,5
SLV,82.11%,-19.52%,58.13,No,84.99,48.13,1,25,5,31,6
XLE,27.29%,11.73%,72.24,No,55.92,44.66,5,1,25,31,7
SLV,82.11%,-19.52%,58.13,No,84.99,48.13,2,26,6,34,8
EWZ,18.99%,1.04%,58.45,No,38.73,30.98,7,20,7,34,9
TLT,0.64%,3.68%,70.13,No,90.82,87.99,13,9,14,36,10
EEM,16.21%,3.01%,64.06,No,62.58,52.80,9,19,9,37,11
XLP,15.31%,9.34%,70.22,No,90.01,80.72,10,3,24,37,12
TLT,0.64%,3.68%,70.13,No,90.82,87.99,14,10,15,39,13
XLU,8.29%,10.15%,75.45,No,47.73,42.59,11,2,26,39,14
TLT,0.64%,3.68%,70.13,No,90.82,87.99,15,11,16,42,15
TLT,0.64%,3.68%,70.13,No,90.82,87.99,16,12,17,45,16
TLT,0.64%,3.68%,70.13,No,90.82,87.99,17,13,18,48,17
XLY,0.34%,-4.03%,43.99,No,116.86,115.31,23,22,4,49,18
XLK,-0.90%,-7.02%,43.58,No,138.76,135.91,24,23,3,50,19
TLT,0.64%,3.68%,70.13,No,90.82,87.99,18,14,19,51,20
TLT,0.64%,3.68%,70.13,No,90.82,87.99,19,15,20,54,21
TLT,0.64%,3.68%,70.13,No,90.82,87.99,20,16,21,57,22
TLT,0.64%,3.68%,70.13,No,90.82,87.99,21,17,22,60,23
TLT,0.64%,3.68%,70.13,No,90.82,87.99,22,18,23,63,24
XLF,-2.11%,-2.94%,41.76,Yes,51.43,52.85,25,21,2,4800000,25
FXI,-5.86%,-7.95%,33.40,Yes,37.28,38.69,26,24,1,5100000,26
