Ticker,Perf_3M,Perf_1M,RSI14,Below_200SMA,Price,SMA200,Rank_3M,Rank_1M,Rank_RSI,Aggregate_Score,Aggregate_Ranking
SLV,74.51%,9.37%,45.92,No,75.44,43.87,1,3,14,18,1
GDXJ,33.79%,7.77%,45.16,No,124.09,87.56,3,5,12,20,2
SLV,74.51%,9.37%,45.92,No,75.44,43.87,2,4,15,21,3
GDXJ,33.79%,7.77%,45.16,No,124.09,87.56,4,6,13,23,4
EWZ,18.79%,15.79%,67.91,No,37.04,29.86,5,1,24,30,5
XLE,17.00%,13.55%,77.24,No,51.05,43.31,6,2,26,34,6
XLB,13.41%,7.74%,63.01,No,49.27,44.24,7,7,23,37,7
XLV,7.47%,-0.60%,45.96,No,154.74,141.85,9,14,16,39,8
XLI,6.68%,5.77%,60.13,No,165.44,150.12,10,10,21,41,9
EEM,5.52%,7.69%,60.77,No,59.10,51.16,11,8,22,41,10
XLP,9.05%,6.86%,68.92,No,83.51,80.08,8,9,25,42,11
XLY,1.53%,0.67%,48.60,No,121.17,113.37,13,13,18,44,12
FXI,-3.32%,2.43%,50.11,No,39.61,38.26,15,11,19,45,13
XLU,-3.28%,0.68%,53.47,No,43.25,41.95,14,12,20,46,14
XLF,2.59%,-3.15%,43.84,No,53.44,52.45,12,26,11,49,15
XLK,-5.24%,-1.05%,45.99,No,143.88,132.36,26,25,17,68,16
TLT,-4.35%,-0.83%,43.47,Yes,87.13,87.85,16,15,1,3200000,17
TLT,-4.35%,-0.83%,43.47,Yes,87.13,87.85,17,16,2,3500000,18
TLT,-4.35%,-0.83%,43.47,Yes,87.13,87.85,18,17,3,3800000,19
TLT,-4.35%,-0.83%,43.47,Yes,87.13,87.85,19,18,4,4100000,20
TLT,-4.35%,-0.83%,43.47,Yes,87.13,87.85,20,19,5,4400000,21
TLT,-4.35%,-0.83%,43.47,Yes,87.13,87.85,21,20,6,4700000,22
TLT,-4.35%,-0.83%,43.47,Yes,87.13,87.85,22,21,7,5000000,23
TLT,-4.35%,-0.83%,43.47,Yes,87.13,87.85,23,22,8,5300000,24
TLT,-4.35%,-0.83%,43.47,Yes,87.13,87.85,24,23,9,5600000,25
TLT,-4.35%,-0.83%,43.47,Yes,87.13,87.85,25,24,10,5900000,26
